group,names,logfoldchanges,cell.type,organ
0,PRKCA,2.6427498,Plasmacytoid dendritic cells,Immune system
0,PRKCA,2.6427498,Plasmacytoid dendritic cells,Immune system
0,PRKCA,2.6427498,Plasmacytoid dendritic cells,Immune system
0,HNF4A,2.7822747,Hepatoblasts,Liver
0,HNF4A,2.7822747,Hepatocytes,Liver
0,DENND5B,2.5066264,B cells memory,Immune system
0,DENND5B,2.5066264,Plasma cells,Immune system
0,CUX2,2.5011556,Plasmacytoid dendritic cells,Immune system
0,CUX2,2.5011556,Plasmacytoid dendritic cells,Immune system
0,MME,2.9473677,B cells,Immune system
0,MME,2.9473677,B cells,Immune system
0,MME,2.9473677,B cells,Immune system
0,MME,2.9473677,B cells naive,Immune system
0,MME,2.9473677,B cells naive,Immune system
0,MME,2.9473677,B cells naive,Immune system
0,MME,2.9473677,Neutrophils,Immune system
0,MME,2.9473677,Neutrophils,Immune system
0,MME,2.9473677,Neutrophils,Immune system
0,CDH1,2.6911457,Basophils,Immune system
0,CDH1,2.6911457,Basophils,Immune system
0,CDH1,2.6911457,Hepatoblasts,Liver
0,CDH1,2.6911457,Hepatoblasts,Liver
0,CDH1,2.6911457,Hepatocytes,Liver
0,CDH1,2.6911457,Hepatocytes,Liver
0,CDH1,2.6911457,Plasmacytoid dendritic cells,Immune system
0,CDH1,2.6911457,Plasmacytoid dendritic cells,Immune system
0,IL17RB,2.9451528,Nuocytes,Immune system
0,IL17RB,2.9451528,Nuocytes,Immune system
0,IL17RB,2.9451528,Nuocytes,Immune system
0,IL17RB,2.9451528,Plasmacytoid dendritic cells,Immune system
0,IL17RB,2.9451528,Plasmacytoid dendritic cells,Immune system
0,IL17RB,2.9451528,Plasmacytoid dendritic cells,Immune system
0,GNG7,2.571137,B cells memory,Immune system
0,GNG7,2.571137,Plasma cells,Immune system
0,CD8B,2.8482335,T cells,Immune system
0,CD8B,2.8482335,T cells,Immune system
0,ABCB9,2.5307581,Plasma cells,Immune system
0,ABCB9,2.5307581,Plasma cells,Immune system
0,ABCB9,2.5307581,Plasma cells,Immune system
0,VDR,2.5970683,Hepatocytes,Liver
0,VDR,2.5970683,Hepatocytes,Liver
0,VDR,2.5970683,Kupffer cells,Liver
0,VDR,2.5970683,Kupffer cells,Liver
1,HLA-B,3.6372633,Dendritic cells,Immune system
1,HLA-B,3.6372633,Dendritic cells,Immune system
1,HLA-B,3.6372633,Dendritic cells,Immune system
1,HLA-B,3.6372633,Dendritic cells,Immune system
1,HLA-B,3.6372633,Dendritic cells,Immune system
1,HLA-B,3.6372633,Dendritic cells,Immune system
1,HLA-B,3.6372633,Dendritic cells,Immune system
1,HLA-B,3.6372633,Dendritic cells,Immune system
1,CCL5,6.727941,Eosinophils,Immune system
1,CCL5,6.727941,Eosinophils,Immune system
1,CCL5,6.727941,Eosinophils,Immune system
1,CCL5,6.727941,Gamma delta T cells,Immune system
1,CCL5,6.727941,Gamma delta T cells,Immune system
1,CCL5,6.727941,Gamma delta T cells,Immune system
1,CCL5,6.727941,Macrophages,Immune system
1,CCL5,6.727941,Macrophages,Immune system
1,CCL5,6.727941,Macrophages,Immune system
1,CCL5,6.727941,NK cells,Immune system
1,CCL5,6.727941,NK cells,Immune system
1,CCL5,6.727941,NK cells,Immune system
1,CCL5,6.727941,T cells,Immune system
1,CCL5,6.727941,T cells,Immune system
1,CCL5,6.727941,T cells,Immune system
1,HLA-C,3.4814801,Dendritic cells,Immune system
1,HLA-C,3.4814801,Dendritic cells,Immune system
1,HLA-C,3.4814801,Dendritic cells,Immune system
1,HLA-C,3.4814801,Dendritic cells,Immune system
1,HLA-A,2.605812,Dendritic cells,Immune system
